,City,Country,Cloudiness,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
367,hammerfest,NO,40,12/10/2017,100,70.66,23.68,35.6,9.17
368,takoradi,GH,32,12/10/2017,100,4.88,-1.76,80.11,6.73
369,tazovskiy,RU,68,12/10/2017,84,67.47,78.7,9.64,13.78
370,hobart,AU,75,12/10/2017,59,-42.88,147.33,62.6,6.93
371,oussouye,SN,0,12/10/2017,78,12.48,-16.55,73.4,4.7
372,capitao poco,BR,76,12/10/2017,82,-1.75,-47.06,78.72,7.74
373,geraldton,CA,20,12/10/2017,76,49.73,-86.95,-7.61,4.7
374,dingle,IE,0,12/10/2017,100,52.14,-10.27,39.52,22.5
375,saint-joseph,RE,0,12/10/2017,64,-21.37,55.62,75.2,4.7
376,khuzhir,RU,12,12/10/2017,100,53.19,107.34,-11.24,4.27
377,gimli,CA,32,12/10/2017,76,50.63,-96.99,20.44,7.18
378,north bend,US,1,12/10/2017,50,43.41,-124.22,57.2,4.7
379,yumen,CN,56,12/10/2017,69,40.28,97.2,14.82,9.64
380,phan thiet,VN,0,12/10/2017,100,10.93,108.1,75.16,6.29
381,polson,US,0,12/10/2017,72,47.69,-114.16,22.42,1.03
382,abbeville,US,1,12/10/2017,79,29.97,-92.13,59,5.82
383,santa cruz de tenerife,ES,40,12/10/2017,100,28.47,-16.25,64.4,12.75
384,xuddur,SO,0,12/10/2017,57,4.12,43.89,67.11,9.42
385,norman wells,CA,90,12/10/2017,92,65.28,-126.83,21.2,3.36
386,nantucket,US,75,12/10/2017,64,41.28,-70.1,39.2,8.05
387,lazaro cardenas,MX,0,12/10/2017,73,17.96,-102.2,82.54,7.07
388,svetlyy,RU,40,12/10/2017,81,54.67,20.13,32,11.18
389,pedra azul,BR,76,12/10/2017,97,-16.01,-41.3,69.27,6.96
390,gainesville,US,1,12/10/2017,37,29.65,-82.32,53.6,5.82
391,sovetskaya,RU,88,12/10/2017,84,44.78,41.17,20.62,2.48
392,arshan,RU,88,12/10/2017,100,46.27,44.22,33.8,11.18
393,hermanus,ZA,32,12/10/2017,76,-34.42,19.23,56.22,8.41
394,banda aceh,ID,44,12/10/2017,100,5.56,95.32,73.72,2.48
395,keti bandar,PK,80,12/10/2017,100,24.14,67.45,66.03,11.77
396,lagoa,PT,12,12/10/2017,100,39.05,-27.98,64.41,20.04
397,serik,TR,75,12/10/2017,93,36.92,31.1,51.8,3.36
398,calama,CL,0,12/10/2017,6,-22.47,-68.93,75.2,26.4
399,sovetskiy,RU,64,12/10/2017,78,61.36,63.58,12.93,6.62
400,qinhuangdao,CN,0,12/10/2017,54,39.93,119.59,-5.17,3.04
401,dieppe,FR,0,12/10/2017,93,49.93,1.08,39.2,11.41
402,bhairab bazar,BD,90,12/10/2017,88,24.07,90.97,71.6,9.17
403,muravlenko,RU,56,12/10/2017,83,63.79,74.52,7.89,9.42
404,provideniya,RU,20,12/10/2017,52,64.38,-173.3,15.8,26.84
405,hasaki,JP,75,12/10/2017,81,35.73,140.83,44.6,2.24
406,san cristobal,EC,40,12/10/2017,83,-0.9,-89.62,71.6,11.41
407,vaitape,PF,76,12/10/2017,100,-16.52,-151.75,81.24,10.87
408,vardo,NO,75,12/10/2017,69,70.37,31.11,33.8,16.11
409,kearney,US,1,12/10/2017,18,40.7,-99.08,62.6,6.93
410,fuyang,CN,88,12/10/2017,71,32.9,115.82,27.69,2.82
411,varhaug,NO,0,12/10/2017,85,58.61,5.65,23,5.82
412,labuhan,ID,76,12/10/2017,100,-6.88,112.21,78.99,9.75
413,estelle,US,40,12/10/2017,41,29.85,-90.11,59,6.62
414,kanigoro,ID,68,12/10/2017,99,-8.13,112.22,79.57,4.83
415,castro,CL,0,12/10/2017,80,-42.47,-73.77,62.11,5.39
416,pachino,IT,0,12/10/2017,93,36.72,15.09,37.4,3.36
417,banjar,ID,40,12/10/2017,100,-8.19,114.97,77,3.36
418,lincoln,US,1,12/10/2017,22,40.8,-96.67,59,8.05
419,padang,ID,68,12/10/2017,100,-0.95,100.35,78.99,1.59
420,mezen,RU,80,12/10/2017,85,65.85,44.24,19.72,7.74
421,macapa,BR,90,12/10/2017,94,0.04,-51.07,80.6,8.05
422,praia da vitoria,PT,75,12/10/2017,88,38.73,-27.07,62.6,22.39
423,carman,CA,1,12/10/2017,100,49.5,-98,26.6,6.93
424,posse,BR,92,12/10/2017,97,-14.09,-46.37,67.92,11.43
425,turbat,PK,0,12/10/2017,28,26,63.04,47.22,8.97
426,syasstroy,RU,92,12/10/2017,92,60.14,32.57,32.77,5.61
427,coihaique,CL,0,12/10/2017,49,-45.58,-72.07,73.4,25.28
428,sinop,TR,12,12/10/2017,88,41.77,34.87,46.5,13.11
429,kokstad,ZA,88,12/10/2017,96,-30.55,29.42,50.28,2.93
430,oxapampa,PE,36,12/10/2017,97,-10.58,-75.4,58.83,1.92
431,orizona,BR,76,12/10/2017,97,-17.03,-48.3,66.3,3.15
432,sungairaya,ID,80,12/10/2017,97,0.7,108.9,75.3,3.94
433,tuy hoa,VN,80,12/10/2017,100,13.08,109.3,70.62,11.21
434,houma,US,1,12/10/2017,43,29.6,-90.72,59,10.29
435,khatanga,RU,12,12/10/2017,65,71.97,102.5,-13.94,14.23
436,ambilobe,MG,80,12/10/2017,97,-13.2,49.05,72.06,3.27
437,ondjiva,AO,0,12/10/2017,94,-17.07,15.73,65.44,3.6
438,osoyoos,CA,90,12/10/2017,64,49.03,-119.45,33.8,9.17
439,galyugayevskaya,RU,88,12/10/2017,95,43.7,44.93,34.12,3.04
440,front royal,US,1,12/10/2017,50,38.92,-78.19,39.2,4.7
441,saurimo,AO,88,12/10/2017,99,-9.66,20.39,66.61,2.71
442,iranshahr,IR,0,12/10/2017,14,27.2,60.68,44.6,4.7
443,gubkinskiy,RU,64,12/10/2017,76,64.43,76.5,7.71,7.74
444,almeirim,BR,20,12/10/2017,61,-1.52,-52.58,85.38,4.61
445,altay,CN,44,12/10/2017,77,47.87,88.12,4.69,2.37
446,yulara,AU,24,12/10/2017,21,-25.24,130.99,71.6,10.29
447,kawalu,ID,76,12/10/2017,96,-7.38,108.21,69.9,1.36
448,bure,ET,8,12/10/2017,69,10.7,37.07,47.76,3.15
449,cotonou,BJ,0,12/10/2017,74,6.37,2.42,80.6,4.7
450,vila velha,BR,90,12/10/2017,88,-20.33,-40.29,77,2.24
451,zonguldak,TR,8,12/10/2017,100,41.25,31.83,42.9,3.71
452,orlik,RU,24,12/10/2017,62,52.52,99.83,-12.1,1.81
453,thompson,CA,90,12/10/2017,77,55.74,-97.86,1.4,2.24
454,bredasdorp,ZA,80,12/10/2017,63,-34.53,20.04,62.6,13.87
455,punta arenas,CL,40,12/10/2017,58,-53.15,-70.92,59,47.2
456,hilo,US,1,12/10/2017,51,19.73,-155.09,80.6,6.93
457,koumac,NC,92,12/10/2017,97,-20.57,164.28,76.65,3.49
458,nevers,FR,90,12/10/2017,93,46.99,3.16,46.4,13.87
459,nardaran,AZ,40,12/10/2017,93,40.56,50.01,46.4,10.29
460,krasnoyarsk,RU,24,12/10/2017,83,56.01,92.79,-5.81,2.37
461,porto novo,CV,75,12/10/2017,60,17.02,-25.06,75.2,14.99
462,ponta do sol,CV,32,12/10/2017,100,17.2,-25.09,76.02,18.37
463,kahului,US,75,12/10/2017,78,20.89,-156.47,78.8,16.11
464,san patricio,MX,40,12/10/2017,74,19.22,-104.7,84.2,9.17
465,kathu,TH,20,12/10/2017,83,7.92,98.33,77,5.82
466,prince rupert,CA,90,12/10/2017,66,54.32,-130.32,53.6,12.75
467,lompoc,US,1,12/10/2017,12,34.64,-120.46,71.6,3.15
468,barrow,US,90,12/10/2017,77,71.29,-156.79,1.4,25.28
469,ratnagiri,IN,12,12/10/2017,98,16.98,73.3,80.11,9.08
470,jiayuguan,CN,48,12/10/2017,72,39.82,98.3,8.92,2.71
471,la mana,EC,75,12/10/2017,59,-0.93,-79.22,66.2,8.05
472,tsiroanomandidy,MG,80,12/10/2017,94,-18.77,46.03,62.34,2.93
473,bethel,US,90,12/10/2017,69,41.37,-73.41,37.4,6.62
474,kropotkin,RU,92,12/10/2017,79,45.44,40.58,40.11,14.9
475,umarkot,IN,0,12/10/2017,81,19.67,82.22,51.31,2.59
476,siedlce,PL,92,12/10/2017,86,52.17,22.29,30.16,20.15
477,kapaa,US,40,12/10/2017,69,22.08,-159.32,75.2,10.29
478,sondrio,IT,75,12/10/2017,79,46.17,9.87,30.2,10.29
479,libreville,GA,20,12/10/2017,88,0.39,9.45,80.6,6.93
480,lukhovitsy,RU,92,12/10/2017,97,54.97,39.04,37.5,16.69
481,sao filipe,CV,24,12/10/2017,92,14.9,-24.5,77.14,14.45
482,beringovskiy,RU,76,12/10/2017,98,63.05,179.32,22.02,25.08
483,san quintin,MX,80,12/10/2017,37,30.48,-115.95,65.76,1.14
484,quesnel,CA,1,12/10/2017,55,53,-122.5,37.4,5.82
485,cape town,ZA,0,12/10/2017,55,-33.93,18.42,62.6,12.75
486,jieshi,CN,0,12/10/2017,100,22.81,115.83,58.74,15.23
487,te anau,NZ,92,12/10/2017,93,-45.42,167.72,54.51,11.77
488,carnarvon,ZA,0,12/10/2017,35,-30.97,22.13,55.72,10.87
489,juneau,US,90,12/10/2017,100,58.3,-134.42,44.6,5.82
490,ilulissat,GL,80,12/10/2017,51,69.22,-51.1,35.6,12.75
491,torbay,CA,90,12/10/2017,93,47.67,-52.73,53.6,23.04
492,makakilo city,US,75,12/10/2017,57,21.35,-158.09,80.6,4.7
493,ketchikan,US,90,12/10/2017,76,55.34,-131.65,53.6,6.93
494,udachnyy,RU,36,12/10/2017,39,66.42,112.4,-26.09,2.59
495,nanortalik,GL,80,12/10/2017,97,60.14,-45.24,29.26,7.96
496,kodiak,US,90,12/10/2017,93,57.79,-152.41,42.8,25.28
497,chicama,PE,20,12/10/2017,82,-7.84,-79.15,68,9.17
498,poum,NC,92,12/10/2017,100,-20.23,164.02,75.93,6.17
499,arraial do cabo,BR,75,12/10/2017,88,-22.97,-42.03,75.2,10.29
500,iqaluit,CA,90,12/10/2017,84,63.75,-68.51,6.8,13.87
501,stornoway,GB,80,12/10/2017,86,58.21,-6.39,39.2,12.75
502,narsaq,GL,64,12/10/2017,86,60.92,-46.05,33.8,4.7
503,nome,US,75,12/10/2017,72,64.5,-165.41,17.6,6.93
504,la asuncion,VE,24,12/10/2017,100,11.03,-63.86,80.02,13.33
505,manta,EC,20,12/10/2017,78,-0.95,-80.73,78.8,13.87
506,carlton,GB,0,12/10/2017,92,54.58,-1.4,30.2,3.36
507,dikson,RU,76,12/10/2017,100,73.51,80.55,9.91,14.9
508,nuuk,GL,12,12/10/2017,92,64.18,-51.72,28.4,12.75
509,santiago,PH,80,12/10/2017,100,16.69,121.55,72.42,4.72
510,setermoen,NO,75,12/10/2017,64,68.86,18.35,33.8,12.75
511,chilca,PE,0,12/10/2017,92,-12.52,-76.74,64.36,5.39
512,bogorodskoye,RU,88,12/10/2017,96,56.55,37.88,36.91,16.46
513,vila franca do campo,PT,75,12/10/2017,88,37.72,-25.43,66.2,21.92
514,qaanaaq,GL,76,12/10/2017,92,77.48,-69.36,14.41,2.15
515,lugovoy,RU,88,12/10/2017,84,58.35,45.5,22.11,8.08
516,paamiut,GL,44,12/10/2017,90,61.99,-49.67,27.24,4.94
517,sitka,US,90,12/10/2017,66,57.05,-135.33,50,19.46
518,araouane,ML,32,12/10/2017,40,18.9,-3.53,53.47,4.27
519,ostrogozhsk,RU,92,12/10/2017,94,50.87,39.08,39.75,18.7
520,tuktoyaktuk,CA,75,12/10/2017,76,69.45,-133.04,-9.41,9.17
521,talcahuano,CL,0,12/10/2017,60,-36.72,-73.12,69.8,12.75
522,honningsvag,NO,40,12/10/2017,59,70.98,25.97,33.8,17.22
523,hamilton,BM,90,12/10/2017,94,32.29,-64.78,69.8,16.11
524,qaqortoq,GL,64,12/10/2017,86,60.72,-46.03,33.8,4.7
525,muisne,EC,56,12/10/2017,82,0.6,-80.03,75.16,6.73
526,tamiahua,MX,0,12/10/2017,87,21.27,-97.45,68.19,8.75
527,ostrovnoy,RU,32,12/10/2017,92,68.05,39.51,19.59,15.46
528,tuatapere,NZ,68,12/10/2017,100,-46.13,167.68,57.79,17.25
529,sistranda,NO,0,12/10/2017,63,63.73,8.83,30.2,25.28
530,vao,NC,92,12/10/2017,100,-22.67,167.48,75.57,7.63
531,sisimiut,GL,80,12/10/2017,99,66.94,-53.67,22.47,8.41
532,ucluelet,CA,75,12/10/2017,81,48.93,-125.55,50,11.41
